id_ec,tx_empresa
011b32d53af3bb57c72dd14fafc7498e,0.03
536ce900facbc5d10e492551a6e2e8e4,0.03
43869a7aa9afe5f00b3cd3c5290e23ad,0.04
59ac39cb044bc2448a3f9ead7d7cd2c3,0.05
4ffa36d68270e28baa3efde23300a442,0.04
fddc0025d5c97cc11a6131d959183c75,0.03
1b38251bfa1ca1201482ff73f0a90da9,0.04
d45290972dedcdaef0f314053466d2c7,0.03
c93e0af5465e42850c3d0a55e327e398,0.03
34ab007452489811ce5f1082e9b43802,0.03
fd5a7ad2cb85e639e130c97c87628f50,0.05
f3e3b0b2686e3d72a8807df94ceaea10,0.05
ae1adb979ea1b0720b0dcd798635e03d,0.02
775d924cd9f7578226610dd6eca51379,0.04
9041a1999fb8c06681770fd4e42f61e9,0.02
43a9cf042cf8416c8c7a39e6a48e7c25,0.03
df56c186b95f05654661104b1b5f3465,0.04
26b3f77cc45cfef5cf0e68cb61819205,0.03
98dbfc0409301ac3315864fc41aeffd4,0.03
a067ea950605d811ddaf790115e96c9f,0.03
319aaaa38ba9734a72bb528700058445,0.04
6ec53bda29e1c38909d16821784322be,0.03
fa3efb52e348be56c741de43f91496d5,0.04
0585b8cb6bac186531c811b61f9d45a4,0.05
94c81b9efefd4add8d858f83f0de5c06,0.05
af62e27c25bbdbd66bece3267bf4f936,0.04
5a8de2d36fb76c3e45a96afb61437909,0.05
df356f5e32491d5948e06a6a505a2b20,0.04
083a87cdc29a8f4143e2e7afb4a2537b,0.03
f3b2892e6fc77600df0e113f263da12f,0.03
9482a7f44e753c7f23acbafd53ac0493,0.03
a5dd638772c7917a36eb1c4a05afe3be,0.03
42f5f55dbf7457c4fad393130df11af7,0.04
bdc21844146ede30c108e816dbd6c8a2,0.02
eb0f949f87eea74fcd6cc56a5ebd3058,0.03
10210f648ab7156e2a258c043bd1f78a,0.03
2f30f9167121c70b0199d97301a7e1c6,0.04
5e0fbb5ef1189bd7da93dbf9be4855ce,0.04
27d6832776c8e30ef7f314dcde6e5e1d,0.03
bae2949ad12e6e9769a025c624650ecc,0.04
5eb004c78d1803e00373cbee2a969dce,0.04
a138bd7b653ef3f9bff68edf4df61cc7,0.02
36997af2ca00f403e89cbf4443e2141e,0.03
931ee3a92ad4bc66e645faebea191123,0.04
e978adca9e0c9b151827766f61c53386,0.03
0c0ad783b89e86e0b16fa5a2775e62a7,0.05
b8ddbbcd7347d973ff06f957e60464ef,0.04
af0f278b9d6e5a7fa5a1272ba59815c3,0.03
85987644672e18bd7cdef16bd28b26bb,0.05
25266edf7765545fc8fde485f7adf500,0.04
caff3a51bbd3cd8a7849e8eb1011e956,0.04
f2cf3c6354649cb4220373545196c845,0.03
4c044b1d3452d65898948e830818f95f,0.02
d79081e479f6d968d36502888e022d4a,0.02
876c7a1c47f6bbbe6b319be1d3ef22be,0.03
780435252d2489ed293a9a0e5baa049a,0.03
c4856921d4878f8f5f0435c252a55181,0.05
a3a258657514f9d9b69d622feb41f091,0.02
5497519b02c4df9757aec3f8fad55d63,0.03
d0ac262e6e3c2727ae9afdf448932790,0.03
1b349cfb2e3cd6680c3595300e6938d4,0.03
ca7d44d7cf7307f0727fc45c997ee238,0.04
7120685140ae5ab13b38cd5124134ee5,0.03
834e01bb16846b7f168a5fe5a2f9abe9,0.03
70e7e8ab420d051db9f4d702d01dcafc,0.03
ea56c7ab0629b1635bd50557d0e825c4,0.04
62ccd8fbefc55200ef224963489ed560,0.03
96082ce9bbcf54bb6ed65e1bc5f78701,0.03
d739be8257e0c89c7b9984f36c2cfe3b,0.02
5501d583acd03424df76f3c8bc1bed1f,0.04
8fa07bd8afcb129ef6b2be604b50b0bb,0.03
62880964d4da7fb7b2a2577fc69017bd,0.02
59da3f6a0e5b2275cc4c44d2adf926e3,0.02
2384f3089c4e3b95f83041dcc7431ec0,0.02
262a83fab7d61ae1939fd4bcbd62a4b8,0.04
3243f0edeeae16414ae5d8eb2d832b6b,0.04
c30819981fc7ff3fdbe0f7b404ae08b8,0.02
