id_trabalhador,aceita_recomendacao,aceita_termo,dat_nascimento,dsc_idade,dsc_sexo
549c8d2ec259d6107a6429279c5c7acb,1,1,1976-12-28,48,Não informado
84627faf1d340189dfeac6658b97260e,1,1,2003-11-14,21,Feminino
e1a54ad88f9843bc43a32dc5051bfea9,1,1,1999-05-20,26,Feminino
9130fef856924c882502ec902f6848db,0,0,1978-08-30,46,Não informado
f7dd38842e764bc5bfbd4adb93c388b0,1,1,1989-11-01,35,Não informado
122302cb44427328bdb6c444cc2e8e1a,0,1,1998-08-06,26,Masculino
09e347859627815cedfb5e5277d445d2,1,1,1985-01-10,40,Não informado
84dcd01639185050132ded4d4c3d5f2f,1,1,2007-03-02,18,Feminino
b1088741d769d4f8a93ea866ca0b1f1f,0,0,1987-11-18,37,Não informado
0c35f31f478b592c0acb87e20a9d1458,1,1,1986-03-08,39,Não informado
5aa19fefe3b23286e27916e43bb370b6,1,1,1987-04-22,38,Não informado
ccbf8b05154f48cab430285fd557f405,1,1,1970-01-11,55,Não informado
0315ea3fa3e885ff8d238ca157a9918c,1,1,1977-02-06,48,Não informado
acff6ecaf3ee7bb379586adab196c765,1,1,1977-11-10,47,Não informado
4a6ce5b609aa04213b39916473864a3e,1,1,1960-03-22,65,Não informado
1660a4264ea19789edfdf0f6b63a8c64,1,1,1988-04-05,37,Feminino
a9304f0e8ac024ef78e8237abe73ad98,1,1,1973-10-25,51,Não informado
fe926b35918270a3098f4483936a16be,1,1,1988-05-14,37,Não informado
cf0748f3949bd6e95607c94cda16f8d2,1,1,1974-10-12,50,Não informado
98c85e9aa3590f4995dbfae03d722904,1,1,1987-08-06,37,Não informado
97d235b6494e1a1a3ace50c2b50b18e0,0,0,1993-05-26,31,Não informado
8b8383b65356a04e7d8ec63ab37fd7c8,1,1,2003-07-26,21,Feminino
7d3dca5c89d6a020894a08f2a027bc27,1,1,1985-11-26,39,Não informado
77c7a88c89200dc1131fb19b31dc2351,1,1,1969-11-01,55,Não informado
6870907bd8eb62a55b4783d9956574be,1,1,1999-11-08,25,Não informado
bbdcd54d156f59201337da1228e4327b,1,1,1982-12-08,42,Não informado
